Ground state energy (a.u.):
	-1341.2846111637
Center of Mass (Angs):
	CMx	CMy	CMz
	  17.5336862361	  16.3795120589	  29.0514882435
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.2809481763	   1.5329297655	  -1.1072062244
Excitation energy (eV):
	Root	Energy
	   1	2.098507434752194
Unrelaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	-2.292297065898858	7.378555390305724	-2.080890580369303	  8.0017
Transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	-0.542039942797708	2.979280042127431	-0.428667343756527	  3.0584
Velocity form of transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	-0.040547763899315	0.213843388839411	0.009635675199950	  0.2179
Magnetic transition dipole moments (a.u.):
	Root	Lx	Ly	Lz
	   1	-0.156531782951994	-0.037984117867014	0.001822262371104	  0.0291	 -0.0228
Total excited state gradient (Hartree/Bohr):
	Atom	dE/dX	dE/dY	dE/dZ
    1       0.0012028265      -0.0023176225      -0.0016094123
    2      -0.0013343986      -0.0092891673       0.0256396906
    3       0.0017147703      -0.0019441913      -0.0018212028
    4       0.0005090992      -0.0015965768       0.0018623061
    5       0.0022504655      -0.0140229429      -0.0226707695
    6      -0.0035450640      -0.0030578386      -0.0022945734
    7       0.0038852046      -0.0168197551       0.0128801350
    8      -0.0033306025       0.0135337898      -0.0123662604
    9       0.0005254485       0.0017315185       0.0027103995
   10       0.0021738016      -0.0018022437      -0.0003834872
   11      -0.0013498166       0.0224657576      -0.0016904464
   12      -0.0041695292       0.0125863081       0.0053557157
   13       0.0031598098       0.0101442821       0.0015550919
   14      -0.0007069571      -0.0012997640       0.0014163576
   15      -0.0023998705       0.0008262557      -0.0031053435
   16       0.0002551795      -0.0009491976       0.0019396283
   17       0.0068762003      -0.0209895771       0.0164068784
   18       0.0067101311      -0.0189535831      -0.0058998682
   19       0.0015048948      -0.0002048348      -0.0025489172
   20      -0.0027904970       0.0243766976      -0.0114849500
   21      -0.0155893239      -0.0043333782      -0.0025710962
   22      -0.0022301513       0.0180881503       0.0024652908
   23       0.0055880213      -0.0197215186      -0.0205850633
   24       0.0093618301      -0.0208640723      -0.0137440105
   25      -0.0006810798       0.0013319690      -0.0013426198
   26       0.0024225796      -0.0022132651       0.0013535741
   27      -0.0017939569      -0.0013116539       0.0001843719
   28      -0.0003972985       0.0001207130       0.0021472729
   29       0.0030098648      -0.0088481697      -0.0029774374
   30      -0.0034359221       0.0159029252       0.0102628591
   31      -0.0015272160      -0.0010937936      -0.0028085424
   32       0.0011163022       0.0011456878      -0.0029678919
   33      -0.0059187955       0.0264028917       0.0087265213
   34      -0.0001995827      -0.0009661284      -0.0012643035
   35      -0.0038884928       0.0220393758      -0.0106655787
   36       0.0025203022      -0.0070944371      -0.0183158826
   37       0.0035235687      -0.0125819109       0.0136383192
   38       0.0012684218      -0.0118208013       0.0168978390
   39       0.0018515839       0.0009326644       0.0015219252
   40      -0.0021899914       0.0003298374       0.0007236639
   41       0.0012264307      -0.0078738465       0.0191737154
   42      -0.0038366693       0.0159249204      -0.0073192889
   43      -0.0005330190       0.0018194877       0.0017714386
   44      -0.0008085016       0.0022670389       0.0018039517
